OTUID	DM3_Autumn	DM3_Spring	DM3_Summer	DM3_Winter	DM5_Autumn	DM5_Spring	DM5_Summer	DM5_Winter	EM2_Autumn	EM2_Spring	EM2_Summer	EM2_Winter	MM14_Autumn	MM14_Spring	MM14_Summer	MM14_Winter	MM16_Autumn	MM16_Spring	MM16_Summer	MM16_Winter	MM17_Autumn	MM17_Spring	MM17_Summer	MM17_Winter	MM2_Autumn	MM2_Spring	MM2_Summer	MM2_Winter	MM4_Autumn	MM4_Spring	MM4_Summer	MM4_Winter	NM1_Autumn	NM1_Spring	NM1_Summer	NM1_Winter	NM3_Autumn	NM3_Spring	NM3_Summer	NM3_Winter	PM3_Autumn	PM3_Spring	PM3_Summer	PM3_Winter	PM7_Autumn	PM7_Spring	PM7_Summer	PM7_Winter	SM17_Autumn	SM17_Spring	SM17_Summer	SM17_Winter	SM19_Autumn	SM19_Spring	SM19_Summer	SM19_Winter	SM3_Autumn	SM3_Spring	SM3_Summer	SM3_Winter	SM6_Autumn	SM6_Spring	SM6_Summer	SM6_Winter	TM3_Autumn	TM3_Spring	TM3_Summer	TM3_Winter	TM4_Autumn	TM4_Spring	TM4_Summer	TM4_Winter	TM6_Autumn	TM6_Spring	TM6_Summer	TM6_Winter	TM8_Autumn	TM8_Spring	TM8_Summer	TM8_Winter	VM1_Autumn	VM1_Spring	VM1_Summer	VM1_Winter	VM4_Autumn	VM4_Spring	VM4_Summer	VM4_Winter	VM7_Autumn	VM7_Spring	VM7_Summer	VM7_Winter	WM2_Autumn	WM2_Spring	WM2_Summer	WM2_Winter	WM3_Autumn	WM3_Spring	WM3_Summer	WM3_Winter
ASV_1	13 	1398 	18 	680 	318 	2602 	13 	3992 	143 	4976 	40 	5324 	448 	1593 	459 	5612 	12 	3832 	22 	6264 	322 	4181 	17 	5562 	86 	4517 	25 	3075 	78 	3700 	27 	5145 	125 	4114 	8 	4474 	23 	5232 	32 	4684 	18 	1474 	13 	1557 	16 	5057 	91 	4520 	211 	1118 	112 	5102 	639 	9754 	8 	7129 	53 	6999 	118 	4004 	420 	1967 	8 	6724 	49 	1634 	165 	764 	14 	1033 	4 	3069 	9 	1141 	34 	1369 	12 	3223 	70 	2294 	20 	5980 	10 	5488 	166 	3462 	10 	4462 	35 	3720 	5 	4265 	380 	4574 	14 	3441 	235 	4848 	299 	3285 
ASV_10	24 	21 	84 	80 	214 	26 	96 	429 	235 	409 	438 	19 	123 	57 	664 	44 	69 	193 	465 	163 	195 	212 	481 	68 	97 	1490 	518 	79 	179 	2673 	2493 	44 	770 	62 	125 	374 	430 	93 	90 	120 	727 	185 	1438 	1211 	1335 	351 	659 	374 	96 	93 	81 	56 	49 	42 	109 	88 	1166 	154 	121 	49 	155 	148 	64 	72 	201 	120 	171 	1928 	215 	128 	315 	1238 	122 	115 	271 	490 	413 	636 	496 	651 	407 	47 	470 	99 	670 	398 	161 	158 	1035 	102 	98 	148 	780 	230 	188 	427 	1598 	309 	402 	80 
ASV_100	1 	64 	2 	151 	1 	17 	2 	39 	1 	37 	73 	119 	0 	122 	3 	150 	0 	256 	1 	20 	1 	89 	2 	110 	0 	126 	2 	119 	12 	133 	2 	42 	1 	27 	1 	73 	1 	17 	1 	54 	0 	112 	0 	31 	1 	43 	0 	109 	5 	176 	0 	116 	12 	92 	1 	67 	2 	30 	2 	34 	6 	183 	0 	83 	1 	10 	0 	10 	0 	21 	2 	5 	1 	41 	0 	8 	1 	65 	0 	8 	1 	69 	3 	50 	0 	51 	3 	56 	1 	18 	3 	25 	1 	43 	6 	20 	0 	47 	0 	19 
ASV_1000	0 	0 	1 	0 	0 	0 	2 	0 	2 	0 	1 	0 	6 	2 	2 	0 	1 	1 	1 	0 	2 	0 	1 	0 	6 	4 	6 	0 	3 	1 	1 	0 	2 	0 	2 	0 	1 	0 	1 	1 	7 	2 	8 	0 	6 	0 	4 	0 	4 	0 	1 	0 	1 	0 	1 	0 	2 	0 	1 	0 	0 	0 	1 	0 	2 	0 	11 	0 	0 	0 	9 	0 	0 	0 	3 	0 	0 	0 	14 	0 	1 	0 	1 	0 	1 	0 	1 	0 	1 	0 	1 	0 	1 	0 	0 	0 	0 	0 	1 	0 
ASV_1002	0 	0 	0 	1 	0 	0 	0 	1 	2 	0 	4 	4 	2 	0 	0 	3 	0 	0 	0 	2 	4 	0 	3 	1 	1 	0 	2 	1 	5 	0 	1 	1 	0 	0 	0 	1 	1 	0 	0 	1 	1 	0 	3 	0 	3 	0 	1 	7 	4 	1 	1 	4 	9 	1 	0 	3 	1 	0 	0 	8 	2 	1 	0 	7 	0 	0 	0 	0 	2 	0 	0 	1 	3 	0 	1 	1 	1 	0 	4 	1 	1 	1 	0 	2 	0 	0 	1 	3 	0 	1 	0 	2 	0 	0 	1 	2 	1 	0 	0 	4 
ASV_1003	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	0 	4 	1 	1 	0 	1 	2 	3 	0 	3 	2 	1 	0 	0 	1 	20 	0 	2 	8 	3 	0 	0 	1 	1 	0 	0 	1 	0 	0 	0 	0 	15 	0 	0 	0 	25 	0 	1 	0 	1 	0 	0 	0 	3 	0 	0 	0 	6 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	1 	1 	0 	0 	0 	3 	0 	0 	0 	3 	0 	0 	0 	2 	0 	0 	1 	3 	0 
ASV_1004	1 	0 	0 	0 	1 	9 	1 	2 	0 	3 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	1 	0 	6 	1 	0 	4 	7 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	7 	0 	0 	4 	7 	2 	0 	2 	14 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	2 	0 	0 	1 	3 	0 	0 	11 	2 	0 	1 	7 	5 	0 	0 	2 	1 	1 
ASV_1005	0 	0 	0 	2 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	0 	22 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	14 	0 	0 	0 	9 	0 	0 	0 	2 	0 	0 	0 	19 	0 	0 	0 	1 	0 	0 	0 	2 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	0 	4 	0 	0 	0 	5 	1 	0 	0 	3 	0 	0 	0 	3 	0 	0 	0 	3 
ASV_1006	0 	0 	3 	0 	0 	0 	3 	0 	0 	0 	2 	0 	1 	0 	2 	0 	1 	0 	2 	0 	0 	0 	2 	0 	1 	0 	2 	0 	0 	0 	2 	0 	0 	0 	1 	0 	1 	0 	0 	0 	1 	3 	3 	1 	0 	2 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	6 	0 	0 	0 	2 	0 	1 	0 	1 	0 	0 	1 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	43 	0 	0 	0 	39 	0 	1 	0 	4 	0 	0 	0 	5 	0 	0 	0 	2 	1 
ASV_1007	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	1 	0 	1 	0 	2 	0 	0 	0 	1 	0 	1 	0 	1 	22 	2 	2 	0 	4 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	32 	20 	6 	0 	8 	3 	1 	2 	1 	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	2 	4 	2 	0 	0 	0 	3 	0 	1 	0 	1 	0 	3 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
ASV_101	0 	8 	0 	2 	1 	7 	0 	8 	2 	19 	0 	7 	0 	6 	0 	29 	0 	6 	0 	23 	4 	7 	0 	30 	51 	143 	0 	21 	0 	6 	0 	5 	0 	4 	0 	21 	2 	4 	0 	29 	0 	5 	0 	45 	1 	182 	0 	23 	1 	5 	0 	14 	0 	1 	0 	16 	1 	30 	0 	22 	0 	22 	0 	16 	12 	817 	2 	524 	2 	305 	0 	96 	5 	67 	0 	98 	5 	6 	0 	192 	0 	1 	0 	16 	1 	4 	0 	34 	0 	0 	0 	27 	0 	2 	0 	43 	2 	1 	0 	38 
ASV_1010	1 	0 	0 	2 	50 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	1 	2 	0 	0 	2 	10 	0 	0 	8 	2 	2 	0 	0 	2 	0 	0 	1 	4 	1 	0 	0 	0 	0 	1 	0 	1 	0 	0 	0 	1 	0 	1 	1 	2 	0 	0 	0 	0 	0 	0 	1 	0 	1 	0 	0 	2 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	2 	0 	0 	1 	0 	0 	1 	0 	4 	0 	1 	0 
ASV_1011	0 	0 	2 	0 	1 	0 	0 	0 	1 	0 	3 	0 	1 	0 	1 	0 	0 	0 	1 	0 	24 	0 	1 	1 	17 	0 	4 	0 	2 	0 	4 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	1 	0 	0 	2 	0 	2 	1 	1 	0 	1 	0 	3 	0 	1 	0 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	15 	0 	0 	1 	4 	0 	1 	0 	11 	0 	0 	1 	1 	1 	0 	0 	0 	0 	2 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	2 	0 
ASV_1013	0 	0 	0 	1 	3 	1 	0 	7 	3 	1 	2 	3 	10 	0 	0 	3 	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	3 	1 	0 	4 	2 	1 	0 	8 	1 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	3 	6 	0 	0 	1 	1 	1 	0 	3 	0 	1 	0 	3 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	2 	0 	1 	0 	5 	0 	2 	0 	4 	0 	0 	0 	2 	1 	1 	0 	6 	0 	1 	0 	2 
ASV_1014	0 	1 	0 	1 	0 	0 	0 	0 	1 	0 	0 	20 	0 	0 	0 	6 	0 	0 	0 	6 	0 	0 	0 	11 	0 	0 	0 	3 	0 	0 	0 	7 	0 	0 	0 	18 	0 	0 	0 	33 	0 	0 	0 	0 	0 	0 	0 	1 	0 	2 	0 	3 	0 	0 	0 	3 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 
ASV_1015	0 	0 	0 	1 	0 	0 	1 	1 	0 	1 	0 	1 	0 	1 	6 	0 	0 	1 	0 	0 	0 	3 	1 	0 	2 	65 	5 	1 	0 	6 	1 	1 	0 	0 	0 	0 	0 	1 	0 	1 	0 	0 	2 	7 	0 	0 	3 	3 	2 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 
ASV_1016	0 	0 	0 	0 	0 	2 	0 	0 	0 	2 	0 	1 	0 	2 	0 	2 	0 	7 	0 	2 	0 	5 	0 	8 	0 	2 	0 	0 	0 	31 	0 	6 	0 	0 	0 	1 	0 	2 	0 	2 	0 	8 	0 	1 	0 	15 	0 	0 	0 	1 	0 	2 	0 	4 	0 	0 	0 	2 	0 	0 	0 	2 	0 	2 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	1 	0 	1 	0 	1 	0 	1 	0 	2 	0 	6 	0 	1 	0 	2 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 
ASV_1017	0 	0 	0 	0 	1 	0 	0 	0 	98 	8 	0 	0 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	5 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	14 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	12 	0 	0 	0 	3 	1 	0 	1 	1 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 
ASV_1018	0 	1 	0 	1 	0 	8 	0 	2 	0 	2 	0 	5 	0 	1 	0 	39 	0 	0 	0 	5 	0 	0 	0 	0 	0 	1 	0 	1 	0 	1 	0 	1 	0 	0 	0 	11 	0 	5 	0 	2 	0 	0 	0 	1 	0 	0 	0 	1 	0 	9 	0 	2 	2 	1 	0 	3 	0 	1 	0 	0 	0 	6 	0 	4 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	1 	0 	5 	0 	1 	0 	5 	0 	1 	0 	2 	0 	1 	0 	0 	0 	2 	0 	1 	0 	1 
ASV_102	31 	26 	4 	49 	13 	5 	3 	25 	26 	72 	20 	15 	4 	19 	16 	225 	3 	18 	11 	48 	4 	24 	15 	80 	8 	86 	12 	20 	7 	54 	12 	17 	52 	25 	29 	49 	68 	17 	2 	50 	9 	12 	9 	25 	6 	27 	33 	14 	51 	71 	59 	65 	22 	65 	39 	159 	33 	76 	22 	81 	23 	35 	61 	79 	14 	17 	33 	8 	4 	11 	44 	38 	13 	30 	20 	14 	2 	138 	12 	57 	40 	35 	34 	51 	38 	12 	48 	38 	35 	13 	48 	34 	16 	46 	40 	33 	47 	50 	10 	39 
ASV_1020	0 	18 	0 	16 	0 	7 	0 	25 	0 	1 	0 	2 	0 	0 	0 	3 	0 	0 	0 	0 	0 	1 	0 	1 	0 	4 	0 	0 	0 	1 	0 	3 	0 	0 	0 	12 	0 	3 	0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	2 	0 	1 	0 	4 	0 	1 	0 	2 	0 	1 	0 	4 	0 	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	2 	0 	2 	0 	1 	0 	4 	0 	0 	0 	5 	0 	6 	0 	2 	0 	7 	0 	4 
ASV_1021	1 	1 	0 	0 	1 	1 	0 	1 	2 	1 	2 	0 	1 	0 	1 	2 	3 	1 	1 	2 	4 	2 	0 	0 	1 	1 	0 	1 	7 	0 	1 	1 	2 	0 	0 	1 	2 	1 	0 	0 	2 	1 	0 	1 	1 	0 	0 	1 	2 	0 	0 	3 	3 	2 	0 	1 	3 	0 	0 	6 	3 	2 	0 	2 	0 	0 	0 	0 	1 	0 	0 	1 	2 	0 	0 	1 	2 	0 	0 	0 	2 	0 	1 	1 	1 	2 	0 	2 	2 	3 	0 	4 	3 	2 	0 	4 	0 	3 	0 	5 
ASV_1024	0 	0 	3 	0 	1 	0 	0 	1 	2 	3 	1 	0 	2 	2 	1 	2 	1 	2 	0 	0 	2 	1 	4 	0 	2 	0 	2 	1 	1 	6 	3 	0 	4 	0 	1 	1 	6 	0 	0 	2 	2 	3 	1 	0 	2 	2 	0 	0 	1 	1 	0 	0 	3 	2 	0 	1 	1 	2 	0 	1 	2 	1 	1 	2 	0 	0 	0 	0 	0 	2 	0 	0 	1 	1 	1 	1 	0 	0 	1 	0 	1 	2 	1 	0 	2 	1 	1 	1 	0 	0 	1 	2 	0 	0 	0 	1 	2 	2 	1 	2 
ASV_1025	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 	0 	1 	0 	8 	0 	2 	0 	4 	1 	0 	0 	2 	0 	2 	0 	1 	2 	2 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	1 	0 	0 	5 	4 	5 	0 	3 	0 	3 	0 	3 	0 	3 	0 	6 	0 	1 	0 	1 	0 	3 	0 	1 	0 	7 	0 	1 	0 	5 	0 	2 	0 	3 	0 	3 	0 	3 	0 	4 	0 	1 	0 	6 	0 	1 	0 	6 	0 	1 	0 	7 
ASV_1026	0 	2 	0 	9 	0 	1 	0 	6 	0 	0 	0 	0 	0 	1 	0 	3 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	2 	0 	1 	0 	2 	0 	0 	0 	2 	0 	0 	0 	2 	0 	0 	0 	3 	0 	0 	0 	1 	0 	2 	0 	2 	0 	3 	0 	2 	0 	1 	0 	15 	0 	1 	0 	3 	1 	1 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	3 	0 	14 	0 	1 	0 	9 	0 	0 	0 	6 	0 	5 	0 	7 	0 	2 	0 	13 
ASV_1027	0 	0 	2 	1 	0 	0 	0 	1 	0 	0 	15 	1 	0 	3 	2 	2 	0 	4 	1 	1 	1 	0 	0 	1 	0 	0 	0 	4 	3 	1 	1 	5 	0 	0 	1 	4 	0 	0 	0 	2 	1 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	2 	0 	0 	1 	1 	0 	0 	0 	22 	0 	0 	0 	5 	0 	1 	0 	0 	0 	0 	1 	2 	0 	0 	0 	1 	1 	0 	0 	3 	0 	1 	1 	2 	0 	1 	0 	4 	0 	1 	1 	4 	0 	0 	0 	14 	0 	0 	0 	28 
ASV_103	3 	2 	154 	0 	14 	43 	189 	0 	7 	1 	231 	0 	27 	0 	57 	0 	0 	0 	17 	0 	2 	0 	31 	0 	50 	52 	220 	0 	9 	11 	32 	0 	4 	2 	101 	0 	7 	1 	471 	0 	30 	9 	43 	0 	9 	0 	36 	0 	7 	37 	219 	0 	2 	1 	254 	0 	3 	0 	199 	0 	2 	2 	90 	0 	43 	2 	156 	0 	12 	4 	86 	0 	29 	1 	98 	0 	4 	0 	51 	0 	1 	0 	118 	0 	5 	2 	66 	0 	2 	0 	96 	0 	2 	2 	94 	0 	3 	1 	249 	0 
ASV_1030	1 	20 	1 	32 	1 	4 	0 	4 	1 	3 	1 	1 	0 	1 	0 	4 	0 	2 	0 	1 	0 	1 	0 	0 	0 	1 	1 	4 	0 	1 	0 	1 	4 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 	0 	1 	0 	17 	0 	1 	3 	5 	0 	0 	0 	2 	0 	0 	1 	1 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	2 	0 	1 	1 	1 	1 	7 	1 	1 	1 	0 	1 	4 	0 	0 	1 	3 	0 	1 	1 	4 	0 	1 
ASV_1032	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	5 	0 	0 	2 	0 	0 	0 	0 	26 	0 	0 	0 	12 	0 	0 	0 	23 	0 	0 	0 	17 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	0 	2 
ASV_1034	1 	0 	0 	1 	0 	0 	0 	2 	3 	1 	0 	1 	3 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	14 	1 	0 	1 	27 	1 	0 	10 	12 	0 	0 	6 	1 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	2 	0 	0 	3 	1 	0 	0 	1 	2 	0 	0 	2 	1 	0 	0 	0 	3 	0 	0 	2 
ASV_1035	1 	0 	0 	0 	1 	0 	0 	0 	2 	1 	1 	0 	7 	1 	0 	0 	3 	20 	1 	0 	8 	2 	1 	0 	1 	5 	0 	0 	5 	4 	1 	0 	1 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	1 	1 	1 	1 	0 	0 	0 	1 	10 	0 	0 	1 	1 	1 	0 	0 	1 	1 	0 	0 	0 	3 	0 	0 	14 	3 	0 	1 	5 	2 	0 	0 	16 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	1 	1 	0 	0 	1 	0 	0 	2 	0 	0 	0 
ASV_1036	1 	1 	1 	0 	1 	1 	1 	0 	1 	0 	1 	2 	1 	2 	1 	1 	1 	3 	2 	1 	10 	1 	1 	1 	6 	0 	6 	2 	4 	1 	4 	1 	2 	0 	0 	0 	1 	0 	0 	1 	5 	2 	1 	2 	3 	0 	0 	1 	3 	2 	0 	1 	3 	0 	0 	1 	1 	0 	0 	1 	2 	1 	1 	2 	1 	0 	0 	0 	2 	1 	0 	0 	2 	1 	1 	0 	4 	1 	2 	1 	0 	2 	0 	1 	0 	0 	0 	0 	1 	1 	1 	1 	0 	1 	2 	1 	1 	1 	0 	0 
ASV_1038	1 	0 	1 	0 	1 	0 	5 	0 	1 	0 	4 	1 	1 	0 	1 	0 	1 	2 	10 	0 	11 	1 	5 	0 	2 	1 	1 	0 	4 	0 	5 	0 	0 	0 	1 	0 	0 	0 	1 	0 	20 	0 	1 	5 	3 	0 	1 	1 	1 	0 	0 	0 	1 	1 	2 	0 	0 	0 	0 	1 	0 	0 	0 	0 	3 	1 	0 	0 	4 	4 	0 	0 	8 	4 	2 	0 	15 	0 	1 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
ASV_104	2 	3 	22 	11 	4 	10 	29 	9 	10 	52 	203 	4 	13 	27 	10 	8 	8 	10 	32 	14 	0 	3 	17 	6 	7 	6 	41 	16 	2 	3 	48 	6 	70 	35 	28 	121 	78 	47 	16 	73 	6 	3 	23 	10 	7 	43 	80 	17 	6 	8 	21 	65 	27 	3 	17 	24 	102 	111 	740 	35 	15 	126 	14 	9 	2 	4 	10 	2 	2 	2 	7 	2 	1 	2 	17 	4 	1 	3 	22 	2 	11 	41 	135 	3 	12 	181 	95 	1 	3 	45 	19 	1 	20 	146 	50 	81 	1 	110 	97 	5 
ASV_1040	1 	0 	5 	0 	1 	0 	2 	0 	2 	0 	4 	0 	1 	0 	1 	1 	2 	0 	1 	0 	3 	0 	7 	0 	1 	0 	6 	0 	1 	0 	6 	0 	0 	0 	0 	0 	1 	0 	0 	0 	19 	0 	2 	1 	8 	0 	1 	1 	3 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	1 	0 	7 	0 	1 	0 	8 	0 	4 	0 	9 	0 	14 	0 	13 	0 	13 	0 	2 	0 	1 	1 	1 	0 	0 	0 	1 	0 	1 	0 	1 	0 	1 	1 	1 	0 	0 	0 
ASV_1041	1 	1 	0 	1 	0 	0 	0 	5 	1 	0 	1 	0 	0 	0 	0 	0 	0 	4 	0 	1 	2 	0 	0 	1 	0 	0 	0 	1 	19 	5 	0 	1 	1 	0 	0 	1 	2 	1 	0 	3 	2 	0 	0 	0 	0 	0 	0 	1 	2 	8 	0 	0 	1 	4 	0 	2 	1 	2 	0 	2 	2 	2 	0 	2 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	2 	0 	1 	0 	0 	1 	0 	0 	1 	0 	7 	0 	1 	1 	8 	0 	3 
ASV_1042	2 	0 	0 	0 	2 	0 	0 	0 	3 	1 	2 	0 	2 	0 	1 	0 	0 	0 	1 	1 	6 	1 	4 	0 	4 	0 	0 	0 	17 	0 	1 	0 	9 	0 	1 	0 	1 	0 	0 	0 	3 	0 	0 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	3 	0 	2 	1 	0 	0 	0 	1 	0 	0 	1 	2 	1 	0 	0 	2 	0 	0 	0 	3 	0 	0 	0 	5 	0 	0 	0 	5 	3 	0 	0 	3 	5 	0 	1 	2 	2 	0 	1 	7 	1 	1 	1 
ASV_1043	0 	2 	0 	0 	0 	3 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	0 	35 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0 	1 	1 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 	0 	0 	1 	0 	0 	1 	38 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 	11 	0 	0 	0 	2 	0 	0 	0 	2 	0 	0 	0 	3 	0 	0 	0 	3 	0 	1 	0 	2 	0 	1 
ASV_1047	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	4 	1 	1 	0 	0 	3 	0 	3 	0 	1 	0 	0 	0 	1 	0 	3 	0 	7 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	43 	1 	0 	1 	8 	0 	0 	0 	0 	0 	1 	0 	4 	0 	0 	5 	0 	0 	1 	2 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	13 	0 	0 	1 	1 	0 	0 	1 	0 	0 	0 	3 	0 	0 	0 	14 	0 	0 	0 	1 	0 	0 	0 
ASV_1049	0 	0 	1 	2 	0 	1 	2 	1 	0 	0 	35 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	2 	9 	1 	0 	0 	5 	0 	0 	0 	0 	1 	0 	1 	1 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	1 	1 	1 	0 	0 	9 	0 	4 	1 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 	2 	3 	0 	1 	3 	2 	2 	3 	4 	1 	3 	1 	8 	0 	11 	0 	7 	0 	18 
ASV_105	7 	2 	7 	0 	4 	4 	4 	1 	33 	19 	47 	0 	134 	50 	90 	2 	62 	274 	185 	4 	19 	239 	98 	3 	11 	93 	87 	1 	7 	134 	157 	1 	4 	9 	13 	0 	4 	4 	28 	0 	5 	246 	63 	0 	16 	326 	193 	0 	14 	35 	40 	0 	10 	19 	9 	1 	16 	27 	33 	2 	7 	17 	18 	1 	19 	7 	26 	23 	2 	12 	51 	9 	50 	4 	28 	17 	12 	111 	29 	22 	6 	12 	42 	2 	3 	15 	28 	3 	5 	12 	14 	2 	8 	11 	18 	1 	2 	11 	16 	2 
ASV_1051	0 	11 	0 	16 	0 	1 	0 	5 	0 	3 	0 	6 	0 	1 	0 	4 	0 	0 	0 	1 	0 	1 	0 	2 	0 	6 	0 	2 	0 	4 	0 	0 	0 	0 	0 	7 	0 	2 	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	1 	0 	3 	0 	1 	0 	3 	0 	2 	0 	0 	0 	1 	0 	1 	0 	1 	0 	7 	0 	2 	0 	1 	0 	1 	0 	0 	0 	1 	0 	6 	0 	4 	0 	2 	0 	1 	0 	1 	0 	4 	0 	12 	0 	4 	0 	14 	0 	1 
